World,Location,Action,AP Location Name,AP Location ID,Item
???,???,???,,,Dodge Roll
???,???,???,,,Treasure Magnet (Donald)
???,???,???,,,Second Wind (Goofy)
???,???,???,,,High Jump
???,???,???,,,Potion
???,???,???,,,Potion
???,???,???,,,Potion
???,???,???,,,Potion
???,???,???,,,Potion
???,???,???,,,Potion
???,???,???,,,Potion
???,???,???,,,Megalixir
???,???,???,,,Megalixir
???,???,???,,,Dark Matter
100 Acre Wood,100 Acre Wood,Convert Torn Page 3,100 Acre Wood Convert Torn Page 3,2656353,Stop
100 Acre Wood,100 Acre Wood,Convert Torn Page 1,100 Acre Wood Convert Torn Page 1,2656351,Naturespark
100 Acre Wood,100 Acre Wood,Convert Torn Page 2,100 Acre Wood Convert Torn Page 2,2656352,Mythril Shard
100 Acre Wood,100 Acre Wood,Convert Torn Page 4,100 Acre Wood Convert Torn Page 4,2656354,Mythril
100 Acre Wood,100 Acre Wood,Convert Torn Page 5,100 Acre Wood Convert Torn Page 5,2656355,EXP Ring
100 Acre Wood,Bouncing Spot,Inside Tree,100 Acre Wood Bouncing Spot Fall Through Top of Tree Next to Pooh,2656360,Shield2-G
100 Acre Wood,Bouncing Spot,Inside Log,100 Acre Wood Bouncing Spot Break Log,2656359,Mythril
100 Acre Wood,Bouncing Spot,Return Rare Nut 1,100 Acre Wood Bouncing Spot Turn in Rare Nut 1,2656345,Power Up
100 Acre Wood,Bouncing Spot,Return Rare Nut 2,100 Acre Wood Bouncing Spot Turn in Rare Nut 2,2656349,Defense Up
100 Acre Wood,Bouncing Spot,Return Rare Nut 3,100 Acre Wood Bouncing Spot Turn in Rare Nut 3,2656347,Mythril Shard
100 Acre Wood,Bouncing Spot,Return Rare Nut 4,100 Acre Wood Bouncing Spot Turn in Rare Nut 4,2656346,AP Up
100 Acre Wood,Bouncing Spot,Return Rare Nut 5,100 Acre Wood Bouncing Spot Turn in Rare Nut 5,2656348,Orichalcum
100 Acre Wood,Bouncing Spot,Chest,100 Acre Wood Bouncing Spot Left Cliff Chest,2651691,Mythril Shard
100 Acre Wood,Bouncing Spot,Chest,100 Acre Wood Bouncing Spot Right Tree Alcove Chest,2651692,Dark Matter
100 Acre Wood,Bouncing Spot,Chest,100 Acre Wood Bouncing Spot Under Giant Pot Chest,2651693,AP Up
100 Acre Wood,Bouncing Spot,Chest,100 Acre Wood Bouncing Spot Left Cliff Chest,2651691,Mythril Shard
100 Acre Wood,Bouncing Spot,Chest,100 Acre Wood Bouncing Spot Right Tree Alcove Chest,2651692,Dark Matter
100 Acre Wood,Bouncing Spt,Chest,100 Acre Wood Bouncing Spot Under Giant Pot Chest,2651693,AP Up
100 Acre Wood,Pooh's House,Strike Chimney,100 Acre Wood Pooh's Room Chimney,2656358,Mega-Ether
100 Acre Wood,Pooh's House,In Cabinet,100 Acre Wood Pooh's Room Cabinet,2656357,Elixir
100 Acre Wood,Pooh's House,Start Fire,100 Acre Wood Pooh's House Start Fire,2656356,Mythril
100 Acre Wood,Pooh's House,All Minigames Clear,100 Acre Wood Pooh's House Owl Cheer,2656350,Cheer (Sora)
100 Acre Wood,Wood: Meadow,Chest,100 Acre Wood Meadow Inside Log Chest,2651654,Mythril Shard
Agrabah,Agrabah,Defeat Pot Centipede,Agrabah Defeat Pot Centipede Ray of Light Event,2656051,Ray of Light
Agrabah,Agrabah: Alley,Chest,Agrabah Alley Chest,2652011,Mega-Potion
Agrabah,Agrabah: Bazaar,Chest,Agrabah Bazaar Across Windows Chest,2652012,Gummi
Agrabah,Agrabah: Bazaar,Chest,Agrabah Bazaar High Corner Chest,2652013,Fire Ring
Agrabah,Agrabah: Plaza,Chest,Agrabah Plaza By Storage Chest,2651972,Mega-Potion
Agrabah,Agrabah: Plaza,Chest,Agrabah Plaza Raised Terrace Chest,2651973,Mega-Ether
Agrabah,Agrabah: Plaza,Chest,Agrabah Plaza Top Corner Chest,2651974,Cottage
Agrabah,Agrabah: Storage,Chest,Agrabah Storage Green Trinity Chest,2652092,AP Up
Agrabah,Agrabah: Storage,Chest,Agrabah Storage Behind Barrel Chest,2652093,Mega-Potion
Agrabah,Aladdin's House,Defeat Genie Jafar,Agrabah Seal Keyhole Genie Event,2656054,Genie
Agrabah,Aladdin's House,Defeat Genie Jafar,Agrabah Seal Keyhole Green Trinity Event,2656056,Green Trinity
Agrabah,Aladdin's House,Chest,Agrabah Aladdin's House Main Street Entrance Chest,2652294,Gummi
Agrabah,Aladdin's House,Chest,Agrabah Aladdin's House Plaza Entrance Chest,2652331,Megalixir
Agrabah,Aladdin's House,Seal Keyhole,Agrabah Seal Keyhole Three Wishes Event,2656055,Three Wishes
Agrabah,Bazaar,Blue Trinity,Agrabah Bazaar Blue Trinity,2656605,
Agrabah,Bazaar,Chest,Agrabah Bazaar High Corner Chest,2652013,Fire Ring
Agrabah,Bottomless Hall,Chest,Agrabah Cave of Wonders Bottomless Hall Raised Platform Chest,2652134,Cottage
Agrabah,Bottomless Hall,Chest,Agrabah Cave of Wonders Bottomless Hall Pillar Chest,2652171,Elixir
Agrabah,Bottomless Hall,Chest,Agrabah Cave of Wonders Bottomless Hall Across Chasm Chest,2652172,Mega-Potion
Agrabah,Bottomless Hall,Chest,Agrabah Cave of Wonders Bottomless Hall Pillar Chest,2652171,Elixir
Agrabah,Bottomless Hall,Chest,Agrabah Cave of Wonders Bottomless Hall Across Chasm Chest,2652172,Mega-Potion
Agrabah,Cave: Entrance,Chest,Agrabah Cave of Wonders Entrance Left Chest,2652094,Mega-Ether
Agrabah,Cave: Entrance,Chest,Agrabah Cave of Wonders Entrance Tall Tower Chest,2652131,Puppies
Agrabah,Cave: Entrance,Chest,Agrabah Cave of Wonders Entrance White Trinity Chest,2652332,Ifrit Belt
